Organisasjonsnummer;Navn;AntallAnsatte;Naeringskode;Organisasjonsform;BrregNavn;StatusCode;Status
810463902;E Berentsen AS;0;68.209;AS;;200;konkurs: False
810684402;BLOKKEN SKIPSVERFT EIENDOM AS;0;68.209;AS;;200;konkurs: False
811320862;KLINGVIG AS;0;68.209;AS;;200;konkurs: False
811445312;TRYGVE M ENGEBY AS;0;46.694;AS;;200;konkurs: False
811550582;CAMPUS 4 AS;0;68.209;AS;;200;konkurs: False
811564222;TORGHALLEN BODØ AS;0;68.320;AS;;200;konkurs: False
811573582;BY1BIL AS;0;45.320;AS;;200;konkurs: False
811576352;ØST BOLIGUTVIKLING AS;0;68.100;AS;;200;konkurs: False
811576662;VESTAKSEN SENTRUM AS;0;41.109;AS;;200;konkurs: False
811607002;ACEA DEVELOPMENT AS;3;68.209;AS;;200;konkurs: False
811613932;Axelar AS;5;70.220;AS;;200;konkurs: False
811620122;UTEPLASSEN.NO AS;5;47.919;AS;;200;konkurs: False
811661392;ØYNEBRÅTEN ANLEGGSTEKNIKK AS;19;43.120;AS;;200;konkurs: False
811717142;OLSEN AUTO JESSHEIM AS;9;45.200;AS;;200;konkurs: False
811727962;Storebotn Utleie AS;0;68.209;AS;;200;konkurs: False
811736252;STIFTELSEN SÆTRE GÅRD;17;56.101;STI;;200;konkurs: False
811738042;NESTTUNVEGEN 99 INVEST AS;0;68.209;AS;;200;konkurs: False
811765422;Skintonic Svolvær AS;5;47.750;AS;;200;konkurs: False
811767662;SFD TECHNOLOGY AS;0;71.129;AS;;200;konkurs: False
811780332;SIVILINGENIØR OLE HAMMARI AS;2;71.121;AS;;200;konkurs: False
811780812;PER OLE OSKAL;4;01.490;ENK;;200;konkurs: False
811783072;Lillebakk Holding AS;0;71.129;AS;;200;konkurs: False
811786322;Kunstmaler Lars Tveit AS;;;AS;;200; slettdato: 2021-11-15
811851612;KARLSAUNE MASKIN AS;1;43.120;AS;;200;konkurs: False
811855162;PLASSEN FLORØ AS;0;41.109;AS;;200;konkurs: False
811864722;BB GYM TROMSØ AS;0;85.510;AS;;200;konkurs: False
811867152;HANS-HENRIK FURULUND EIENDOM AS;0;68.209;AS;;200;konkurs: False
811868892;PK PAINTING POVILAS KASELIS;2;43.341;ENK;;200;konkurs: False
811880132;DIAMOND ROAD MUSIC AS;1;90.011;AS;;200;konkurs: False
811903922;ECONOMICA AS;0;70.220;AS;;200;konkurs: False
811927392;DANIELSEN EL-SUPORT V/JARLE BERNT DANIELSEN;0;71.129;ENK;;200;konkurs: False
811932892;SALTENS DAMP EIENDOM AS;0;68.209;AS;;200;konkurs: False
811956732;RØKENES GÅRD & GJESTEHUS AS;25;56.101;AS;;200;konkurs: False
811987972;SØRESTRANDA EIENDOM AS;0;68.100;AS;;200;konkurs: False
811996432;M7 Regnskap AS;0;69.201;AS;;200;konkurs: False
811998222;RAYMOND ARONSEN TRANSPORT & GRAVING AS;1;43.120;AS;;200;konkurs: False
812003402;JÆRENS ÆRVERDIGE FORENING FOR UISGE BEATHA'S FREMME;0;94.991;FLI;;200;konkurs: False
812026542;Tronds Montasjeservice Trond Petter Michelsen;0;73.110;ENK;;200;konkurs: False
812070592;Herbrandsen Invest AS;1;00.000;AS;;200;konkurs: False
812084232;FOSEN DYREKLINIKK AS;7;75.000;AS;;200;konkurs: False
812100882;NITRA AS;1;64.308;AS;;200;konkurs: False
812105302;Sameiet Prinsens Gate 3b;0;;ESEK;;200;konkurs: False
812124072;Storenga AS;1;55.300;AS;;200;konkurs: False
812159062;Askepotts Renhold AS;18;81.210;AS;;200;konkurs: False
812159852;Veamyr Entreprenør AS;3;43.120;AS;;200;konkurs: False
812164872;FOLKETS HUS NARVIK AS;0;68.209;AS;;200;konkurs: False
812166972;TMG 61 HOLDING AS;0;68.320;AS;;200;konkurs: False
812168142;DALE CAPITAL AS;1;70.220;AS;;200;konkurs: False
812170112;BLOMSTERBAKKEN 2 AS;0;68.209;AS;;200;konkurs: False
812172352;EVENES BYGDESERVICE AS;0;43.320;AS;;200;konkurs: False
812178792;T&R HAUGEN MASKIN AS;8;43.120;AS;;200;konkurs: False
812181912;VINDUSPUSSEREN AS;5;81.220;AS;;200;konkurs: False
812183192;PRIMÆRKONTAKTEN FOR MUSKEL-OG SKJELETTPLAGER AS;1;86.909;AS;;200;konkurs: False
812184032;DREVFJELL AS;1;62.010;AS;;200;konkurs: False
812236342;Frekhaug Byggsenter AS;24;47.521;AS;;200;konkurs: False
812245732;Organic Feelgood AS;0;46.389;AS;;200;konkurs: False
812262432;MASKIN UTLEIE AS;0;68.100;AS;;200;konkurs: False
812276212;Feel Free Production AS;16;31.090;AS;;200;konkurs: False
812306782;CAMPUS 6 AS;0;41.109;AS;;200;konkurs: False
812376152;FREDLUND TØMRERFIRMA;0;41.200;ENK;;200;konkurs: False
812387502;Cafe C Stavanger AS;0;56.309;AS;;200;konkurs: False
812388592;HELGA LIND GÅRDEN;0;;ESEK;;200;konkurs: False
812394312;RAMSØ MASKIN IDAR RAMSØ;;;ENK;;200; slettdato: 2020-04-17
812439502;Båtkalesjer AS;0;13.929;AS;;200;konkurs: True
812440012;ANDREW JOHN WELLS PIANOENTERTAINER;0;90.011;ENK;;200;konkurs: False
812467492;FIT4FUN AS;0;46.389;AS;;200;konkurs: False
812482122;WILL.I.JUICE AS;8;56.101;AS;;200;konkurs: False
812490672;TVETENVEIEN 154 B AS;0;68.209;AS;;200;konkurs: False
812496832;BORGUNDFJORDVEIEN 108 AS;1;68.209;AS;;200;konkurs: False
812536532;HAAGAAS INVEST AS;0;68.100;AS;;200;konkurs: False
812555472;EVENT & HAPPENINGS AS;1;90.020;AS;;200;konkurs: False
812570552;GLIMT MEDIA AS;1;58.140;AS;;200;konkurs: False
812574272;REINSVE EIENDOM AS;2;68.209;AS;;200;konkurs: False
812579622;Fridahl Eiendom AS;1;68.209;AS;;200;konkurs: False
812635042;BIPA DRILLING AS;1;71.129;AS;;200;konkurs: False
812673122;Brenna Entreprenør AS;;;AS;;200; slettdato: 2022-11-24
812722352;Eivind A. Langnes;;;ENK;;200; slettdato: 2023-01-02
812761722;PROFF HAND AS;;;AS;;200; slettdato: 2020-11-04
812790242;KANALTOMTA AS;0;00.000;AS;;200;konkurs: False
812796712;ARAGON MEDIA AS;1;58.140;AS;;200;konkurs: False
812802062;LE'GANZ OUTLET AS;0;47.722;AS;;200;konkurs: False
812830732;Bookkeeper Os AS;14;69.201;AS;ECIT OS AS;200;konkurs: False
812865412;HALLANGSPOLLEN VA-DRIFT SA;0;36.000;SA;;200;konkurs: False
812893602;BSL BYGG AS;12;41.200;AS;;200;konkurs: False
812898752;Taxitomta Ii AS;0;68.209;AS;;200;konkurs: False
812900862;DAKINI DHARMA PROJECTS AS;;;AS;;200; slettdato: 2022-08-23
812972502;REVOLVER AS;0;70.220;AS;;200;konkurs: False
812977652;FINN ARNE SIVERTSEN;0;70.220;ENK;;200;konkurs: False
812978322;STAVANGER INVESTERING SELSKAP AS;0;41.109;AS;;200;konkurs: False
812980262;CAMPUS 7 AS;0;41.109;AS;;200;konkurs: False
813049902;CARTER HOLDING AS;0;00.000;AS;;200;konkurs: False
813050412;HAUGALAND TAK&BYGG AS;;;AS;HAUGESUND TAKSPESIALIST AS;200; slettdato: 2022-02-02
813062372;BTECHNOLOGIES AB FILIAL I NORGE;;;NUF;;200; slettdato: 2022-12-30
813077132;SOLVIK UTVIKLING 1 AS;0;68.100;AS;;200;konkurs: False
813100622;VENTILASJON OG MONTASJE AS;0;43.223;AS;;200;konkurs: True
813104482;R15 Holding AS;;;AS;;200; slettdato: 2020-03-05
813132702;SET SAIL AS;;;AS;;200; slettdato: 2020-04-21
813170442;BAG CATERING AS;6;56.210;AS;;200;konkurs: False
813181282;BYGGSØK NORGE AS;2;71.121;AS;;200;konkurs: False
